symbol,price,price_change,price_percent_change
VTTN,370.05,-3.29,-0.34%
YJS,396.79,4.47,-1.65%
GLBE,344.78,9.88,-2.73%
OTK,204.34,-3.71,4.41%
LFE,398.21,-0.1,-3.12%
BHF,95.77,-4.5,0.19%
EVCI,246.87,-9.01,0.9%
QWPA,80.85,5.97,4.93%
JEH,238.58,4.39,-0.92%
KVZP,286.1,-9.04,1.87%
VYO,246.71,1.32,-0.9%
GCF,224.47,7.04,-0.94%
LAS,49.72,-8.24,-2.13%
YSGA,235.35,9.36,1.6%
YGQ,265.66,0.99,-0.38%
IOPJ,404.39,2.0,4.23%
RAZ,116.58,5.85,-0.8%
ANU,160.4,3.07,0.97%
ESC,202.82,0.33,4.07%
INF,320.79,1.13,2.61%
YCC,16.23,0.1,2.34%
GNK,499.36,0.88,3.97%
MUW,171.75,-6.59,3.15%
LRG,314.53,5.32,-1.77%
MLS,452.77,-4.94,0.6%
RQN,198.22,7.57,-1.18%
GWM,146.6,8.87,-0.88%
YTQF,194.44,-7.3,-0.84%
ZUD,298.11,9.23,-3.64%
WNN,310.41,-2.45,3.47%
UTJG,434.85,5.43,-0.0%
PRA,182.41,1.33,-2.95%
TZK,78.01,6.03,4.73%
HRF,270.23,2.01,0.96%
RWS,300.1,7.4,-2.39%
QXIM,337.54,-4.0,-4.78%
BTL,51.58,-3.69,0.54%
JKZ,109.63,5.82,0.27%
XWYD,473.45,-7.78,2.23%
SZOU,292.86,2.21,1.62%
QFFE,338.57,6.53,0.66%
WTYT,430.13,-9.77,-3.49%
BIP,283.22,-4.03,4.14%
WJY,265.78,9.61,1.91%
EQJW,497.08,-3.02,-2.46%
RAU,207.9,4.17,3.33%
OZMV,43.64,0.04,-1.31%
AZJG,379.69,-4.29,-0.98%
SIP,405.7,-0.23,2.36%
YRN,133.92,0.86,2.57%
EZBV,311.61,-0.89,4.59%
ZKQC,420.07,-1.0,-1.63%
EODU,175.78,-1.86,1.13%
CFAG,313.38,8.63,2.65%
QBV,245.63,-5.16,1.33%
AGJ,95.55,-9.11,-1.71%
RVVA,288.88,-7.55,-3.43%
ASMB,124.19,-9.13,1.35%
GOD,225.33,5.92,1.98%
CLBL,449.77,-4.02,3.45%
UXMQ,477.8,9.98,-1.72%
JXM,83.71,4.83,0.73%
LBD,345.41,7.75,1.52%
COO,271.49,-6.05,-1.53%
RFXI,269.28,-5.24,2.88%
HDIS,450.5,5.91,-2.94%
ARTC,313.73,3.2,1.8%
OZU,394.43,3.9,5.0%
OMDG,390.73,-0.88,-3.34%
BER,270.49,-1.9,-0.47%
HSRF,209.44,-0.46,1.3%
BCI,25.5,-7.51,-2.4%
NZG,478.0,-1.74,4.35%
NDO,19.18,4.17,-3.72%
BMLF,116.17,-1.25,4.79%
VUWY,140.35,9.03,-4.36%
GOBX,318.07,2.61,4.19%
PGVE,98.7,8.45,-1.56%
GKEQ,459.81,-4.34,-0.27%
XHB,313.77,-6.19,-0.85%
RNX,448.72,-8.88,-4.9%
LPQU,497.75,4.17,-0.95%
IMXF,155.53,0.89,-3.61%
BTT,88.6,2.16,1.53%
MCCH,352.47,-8.59,0.13%
QOY,133.31,6.64,4.45%
RUPM,375.88,-8.81,-0.24%
SBWH,126.6,8.66,0.77%
NVJQ,328.83,9.69,-2.62%
HVXD,74.5,8.16,-3.14%
FHIV,258.59,-8.27,2.2%
DLX,217.43,-5.78,-3.66%
LWSC,70.18,0.79,-2.43%
XEBZ,49.72,-1.96,0.74%
RTXO,238.81,-9.53,0.62%
QDPC,334.06,-8.67,3.99%
NVUH,170.65,-6.76,-1.95%
MMSN,487.96,-3.62,-4.36%
UOVX,13.56,-5.65,-4.15%
JTD,189.77,-4.4,1.36%
HYT,370.62,9.61,3.02%
XRSA,251.28,-7.66,-4.82%
WTIR,135.58,-7.53,2.94%
UZG,219.84,-4.37,-3.34%
HYQ,113.33,-8.88,4.86%
ITKH,242.19,-5.37,1.34%
DOI,365.22,7.31,-1.81%
RUZ,19.56,9.24,0.86%
AVHD,385.66,-6.35,0.74%
SCUQ,414.74,1.15,0.35%
DLZJ,228.74,-0.38,-3.9%
KCI,427.47,-1.8,-0.35%
PEP,82.71,-2.27,4.27%
OKL,271.66,-5.19,-1.29%
SRD,112.25,4.69,-3.38%
SOND,84.8,-1.66,3.83%
BET,58.89,-2.44,-1.39%
NEIM,312.55,1.49,1.0%
VMMM,14.71,0.85,0.06%
TGS,63.29,6.27,-0.09%
EFL,467.1,5.55,-4.81%
FLGO,233.9,0.78,-0.65%
KQS,62.34,2.27,-4.81%
OGIZ,406.57,4.32,-2.4%
XQGX,455.98,-1.51,-4.06%
HKT,74.91,-6.87,0.6%
HZE,372.42,-6.73,3.76%
CQN,212.25,-0.29,-1.69%
YSIG,280.61,-1.7,2.61%
GHP,454.78,2.07,-2.7%
VUH,273.37,-4.13,2.36%
NYEH,221.04,-2.3,4.53%
WSKR,241.36,-8.23,2.21%
UNG,356.78,0.4,-2.12%
UTNZ,440.19,3.4,4.43%
KQBH,51.82,1.33,1.47%
WQHR,415.17,9.03,0.34%
NIOM,359.9,2.39,-0.36%
OPUR,405.19,2.57,1.3%
EJT,25.93,7.6,-4.44%
ILTL,61.59,8.62,2.09%
FZB,373.81,-3.33,0.96%
JHYF,36.52,2.38,0.56%
UKC,286.01,-0.99,3.16%
CHKZ,396.51,0.54,3.01%
XTRI,383.9,0.9,4.94%
TEEJ,447.5,0.72,-4.7%
TZL,69.98,2.94,0.25%
JMEJ,209.6,3.63,-4.8%
KHPX,21.29,-0.08,4.98%
BQV,197.26,6.14,-4.68%
GYPE,362.84,2.26,-2.69%
FYH,374.85,8.31,-1.0%
TXQV,52.48,-0.55,0.53%
WJII,21.23,5.93,2.32%
GYTY,177.9,0.05,2.93%
BNSL,499.31,-3.04,-2.96%
XDHM,472.23,-1.95,-0.44%
TIJ,230.74,-8.95,3.48%
LGLZ,132.2,2.17,-1.75%
SKG,386.33,-0.41,4.73%
GYSO,497.07,8.96,2.06%
IFQK,288.41,6.7,-4.46%
HOS,277.36,-4.7,2.06%
HJFG,397.6,8.91,-1.18%
XTNY,262.57,-4.05,3.75%
PCU,303.85,-2.72,-2.07%
FAS,189.47,4.36,0.75%
OVSU,180.79,-3.59,-2.3%
SCYU,363.75,-4.84,-1.77%
MTLD,369.0,-7.2,0.9%
ILX,147.23,-9.5,0.64%
VTG,366.99,0.36,4.25%
ZZO,324.12,-7.51,4.64%
QBMO,73.24,-8.46,-4.56%
BFQ,101.92,-4.52,-4.59%
UDYZ,433.61,-2.09,3.99%
JNZ,406.14,8.82,1.81%
SPEK,392.51,-1.68,-2.55%
PDS,228.06,9.01,-0.57%
KDXM,110.98,-7.44,1.54%
GKH,133.29,-6.97,4.78%
HVDZ,301.55,4.88,-0.08%
GQEG,442.24,9.18,4.1%
TBBG,293.67,7.78,-4.87%
PAE,299.28,0.14,-4.61%
UFCS,219.52,-1.69,3.43%
XTEW,189.89,-6.13,2.3%
DQME,166.47,8.1,-1.86%
YHJJ,467.83,7.52,2.65%
NTLH,428.37,-5.01,-2.06%
XFW,104.86,8.23,-1.24%
JDAG,28.13,4.55,2.73%
ONWH,297.12,2.06,2.06%
WYWC,446.63,7.99,1.75%
TBHA,99.42,2.44,0.03%
RJTL,69.51,7.59,0.22%
STDW,394.15,-1.74,0.18%
MZSI,181.98,2.57,-1.54%
EUJM,430.43,-1.88,4.89%
LRM,69.45,-7.84,0.27%
OEA,173.41,-7.29,-4.57%
ATG,242.57,-1.69,4.12%
FAMD,394.75,-8.99,2.76%
DXW,440.86,-8.19,-4.36%
TSEM,473.11,-3.03,-0.77%
NHCW,156.79,-8.89,-4.21%
FJXW,78.48,-2.56,3.4%
WJYD,404.07,-5.59,2.15%
VNA,98.99,-4.69,0.68%
QIVZ,310.0,-6.32,-3.95%
MONO,16.82,5.12,0.52%
TFPT,448.32,-3.36,3.41%
GWS,321.88,6.94,-1.69%
CTSE,144.63,-6.27,0.14%
IAZI,197.12,6.36,-4.2%
WUDA,367.04,4.65,2.41%
FZJ,198.9,8.58,-1.82%
RZZ,495.16,4.27,2.81%
ZPLA,411.72,0.55,3.54%
BXA,170.3,7.45,-3.45%
IJWO,358.34,-0.16,-4.15%
QHYU,328.28,-4.85,-1.25%
IULJ,432.74,-5.32,-3.49%
SMWF,424.95,-9.78,4.14%
HYF,288.33,-7.1,-0.99%
AGJ,410.95,5.49,1.68%
ERZL,377.46,-1.1,3.54%
ERQ,181.0,8.67,-4.01%
QEIP,220.03,5.42,-4.54%
WNY,305.47,-2.35,3.2%
KYN,157.49,7.95,-0.38%
ANN,193.18,-2.54,-1.3%
HRS,100.92,6.78,0.84%
NZHQ,145.07,-6.6,-3.78%
TOXX,137.94,-3.03,0.45%
HROW,314.62,-9.22,-1.94%
EKGM,143.25,-4.54,-4.46%
RAL,87.98,6.99,1.19%
ZHTJ,45.65,3.28,-1.2%
MSB,341.54,-4.36,2.4%
ECQF,447.97,-2.45,2.6%
IMLA,417.68,5.46,4.4%
CPA,374.52,-5.83,0.98%
NHV,161.11,8.55,-3.67%
PBYQ,27.95,6.22,-3.55%
MRLU,333.64,8.61,0.32%
EYN,379.59,-1.38,-4.72%
DIEU,188.49,8.37,2.11%
HNW,256.24,-7.01,-4.53%
IDG,167.41,5.62,-4.48%
QLUI,333.16,8.15,4.08%
ZRGX,405.94,7.89,-2.06%
BXSO,76.42,-8.47,3.5%
PPRR,272.13,0.9,1.5%
YGFW,181.69,-5.91,3.61%
GXJ,199.36,-5.41,1.26%
BAJB,100.7,-7.05,-1.55%
EKC,452.65,-6.81,2.66%
ZTUG,472.7,9.59,-4.88%
TDS,222.58,-9.0,0.04%
IVZD,438.79,8.09,-3.25%
GDO,210.31,5.88,1.41%
UVN,54.78,-8.52,-1.3%
UTN,136.0,-5.95,-4.56%
YLFH,268.44,6.98,2.81%
SNF,41.93,-1.92,-3.08%
JJJG,180.13,8.66,-3.57%
JSGC,436.87,-2.74,3.03%
MCRA,432.1,9.02,2.98%
JIU,347.74,2.08,-3.47%
OJHM,467.82,-6.84,0.89%
VKQJ,16.56,-8.89,1.65%
ERDN,351.8,1.55,4.92%
NLOD,382.69,2.95,-1.64%
PVY,403.53,-8.26,1.53%
CMMU,65.04,-9.07,0.71%
ZVSI,463.94,-0.45,-4.81%
SUMX,339.95,-4.92,-0.24%
PFK,240.81,-9.83,2.6%
CZVQ,120.49,4.43,-2.02%
JOPH,357.61,-9.05,3.1%
LHSM,65.5,-8.8,-3.64%
BOPF,63.27,4.75,-0.97%
OGVO,119.44,1.04,0.52%
SZC,328.92,5.4,3.2%
FES,222.63,-4.46,4.39%
ENA,15.84,-7.65,3.09%
UWLM,290.82,-9.91,4.84%
UFG,400.23,0.44,3.08%
DHX,456.06,-2.28,-1.42%
NVX,124.61,-4.99,4.64%
YREE,310.22,9.22,-1.12%
JPM,423.46,-5.29,-0.86%
MFNF,69.83,2.77,-2.21%
XKFA,305.94,6.65,-3.46%
MKWF,70.92,-7.03,-0.48%
PIS,250.71,-1.73,-4.17%
ELV,170.25,2.08,4.33%
BCSD,35.94,3.04,-2.79%
UCU,286.69,8.42,-0.22%
UZFY,45.61,6.15,3.39%
ZCHH,316.1,1.03,-1.2%
ZVX,79.05,-2.92,0.37%
JKJ,241.32,8.28,4.48%
AEG,103.84,-0.83,0.05%
RDGU,483.94,-3.36,-2.43%
UXA,295.2,-1.34,-4.9%
UYV,163.47,4.24,-1.52%
RHC,339.49,-7.09,3.33%
VES,144.1,-2.24,-1.05%
EOIS,51.6,9.85,0.74%
BTQ,439.31,-6.21,-3.1%
LOIY,75.83,9.66,3.92%
FCSA,370.69,-5.5,-2.23%
MSKJ,69.72,-2.59,-1.01%
GNAM,320.04,7.52,4.31%
BCBM,457.56,-0.42,3.8%
ASP,271.53,-3.69,-2.08%
YYY,488.31,7.76,4.37%
DOBX,36.14,1.87,4.72%
SBLA,196.26,-7.49,3.08%
PGX,457.75,-1.48,2.03%
XZRL,233.71,8.86,-1.22%
RJW,319.66,-7.06,4.94%
QAOC,250.26,3.86,4.82%
LCV,454.04,7.35,-1.8%
TIU,397.04,-5.13,-2.76%
OOUQ,104.41,7.14,0.03%
BLN,309.48,-6.55,-3.68%
PMPP,64.59,6.87,-3.4%
GBX,197.82,-0.61,-1.47%
KVVU,354.88,6.72,-2.84%
IEJF,104.05,1.29,-4.21%
ERXF,242.24,3.16,4.54%
WTWT,42.45,-5.68,-3.35%
BZW,449.88,-8.91,-0.17%
SCB,210.21,-0.16,-0.55%
AKF,266.75,8.47,1.76%
VUCR,43.98,2.93,0.37%
NVB,321.78,8.37,4.3%
WCWU,27.78,8.86,-2.45%
NRF,125.62,-9.13,-1.54%
VQPJ,26.16,0.75,-1.6%
LQVJ,110.45,-9.84,3.24%
DSMS,433.61,-3.94,-3.81%
POLX,60.08,-8.71,-1.97%
SMJC,429.71,-2.59,2.46%
TDAG,32.43,7.85,-2.98%
UAZ,112.24,-8.75,-4.35%
PBE,465.8,1.29,4.23%
PKF,453.35,9.57,0.21%
IZOX,22.11,-1.03,3.89%
MUE,417.29,0.35,-0.79%
GRLR,415.88,-1.78,3.56%
CJEQ,400.26,8.66,4.95%
OWC,468.02,-6.88,3.21%
DEV,258.18,9.81,1.79%
QCI,440.79,0.06,2.36%
FTM,167.63,1.61,3.65%
VZNO,365.15,1.5,-0.56%
SYD,227.44,6.03,-4.38%
XDWP,420.99,7.73,3.02%
ZQVB,325.69,7.58,2.45%
HDI,287.69,4.03,-1.56%
SORZ,228.32,3.89,3.24%
TRHA,303.71,-1.71,4.52%
LNWL,365.92,-0.47,3.02%
UGUW,207.37,1.42,1.52%
LWB,298.06,-1.12,-3.23%
RKE,230.39,-4.62,2.91%
RWPG,380.95,-4.59,-0.74%
WST,220.31,9.01,-4.34%
BRVY,155.47,-5.54,3.17%
YPG,69.41,-6.74,-2.07%
CZZ,148.34,-2.54,2.24%
JYB,424.28,2.46,-0.08%
ZAB,464.95,-9.42,1.96%
LUPC,108.54,2.51,3.47%
GUU,60.11,-0.02,4.55%
HPZ,303.4,-1.05,2.0%
HZA,109.65,5.83,-4.2%
JXI,476.54,-5.0,2.01%
IUI,380.45,-0.27,-0.48%
MFHD,42.76,0.08,2.68%
VTV,104.25,4.49,-1.48%
SVBD,442.31,3.57,1.36%
GWIB,27.66,-8.23,0.08%
POD,416.45,-4.91,4.27%
CKR,16.93,9.64,1.62%
RRBI,130.21,9.19,3.0%
RUHF,29.95,1.23,-0.5%
SFWG,20.46,4.82,-1.56%
YQC,392.68,4.06,-4.57%
KNDB,440.71,7.86,-4.12%
KDSI,204.25,9.1,1.98%
LZW,62.97,4.24,4.94%
WDE,107.62,4.21,2.37%
GZV,434.52,6.18,-0.65%
DPEV,334.89,9.73,-4.31%
LRSD,202.05,2.75,1.8%
DHD,249.5,-6.91,4.32%
OWCS,163.31,6.54,0.68%
AQD,374.57,6.61,-2.23%
TFQO,480.78,6.54,3.71%
HTK,84.11,-5.91,3.94%
UDUT,108.43,-2.88,2.31%
LBB,192.74,8.05,0.58%
ZKAS,375.26,-3.32,0.59%
ZLR,249.35,9.73,1.66%
HUZZ,484.3,3.29,-4.02%
TVQJ,252.88,2.55,-2.21%
ILQL,220.47,2.35,1.9%
IZG,346.58,-5.71,3.24%
OHVZ,75.66,3.35,3.86%
MERF,146.26,1.29,1.78%
GTS,102.95,-6.37,-3.1%
ZMJO,417.62,-8.87,0.9%
CUR,267.0,-9.25,-3.52%
WGTO,308.0,-8.73,-3.62%
PCB,458.29,7.71,-4.25%
RCM,159.71,9.2,2.25%
DGJZ,257.96,9.7,0.55%
DQL,476.15,6.08,-0.13%
JJXO,374.93,-4.27,2.14%
FIR,401.62,-8.16,4.23%
WNQI,286.65,-7.28,-1.55%
KCB,141.47,-5.44,-2.18%
IEN,370.15,1.02,4.67%
VIK,40.25,0.94,4.42%
QPG,160.09,-2.41,-4.69%
UUZ,259.93,6.6,2.06%
RDK,340.28,-3.47,-2.94%
JVOZ,455.05,-9.65,-2.63%
PMMS,192.86,-9.04,-1.65%
ZBK,447.77,3.39,-1.89%
YTWI,39.79,-7.42,2.31%
PEI,130.42,-6.62,0.23%
LHS,121.51,4.37,3.99%
IFT,418.62,-6.34,-2.01%
QVHE,256.75,-6.74,2.38%
CPDP,148.03,-3.97,-1.93%
JSDU,437.0,-4.86,4.91%
KBEB,231.74,-3.46,-1.56%
AJV,336.4,8.05,1.79%
CLY,366.24,-5.88,0.42%
YRL,225.27,2.01,2.31%
VNB,316.0,7.81,0.36%
KVM,429.46,-8.06,0.33%
UHPI,197.28,-4.57,3.61%
XVSA,204.72,-3.12,-4.21%
RVAD,484.71,6.28,-1.06%
UXFM,166.56,7.29,2.38%
BXP,486.68,-4.15,3.54%
IZJ,269.48,4.79,-3.7%
FJW,107.94,-1.2,-3.98%
IDPW,439.04,0.13,-2.15%
STNU,456.81,-5.9,0.39%
QNNK,299.82,2.87,4.1%
NGM,76.78,-5.8,0.2%
RMF,212.65,6.34,-4.1%
PGSF,345.47,-5.98,2.13%
JLD,57.73,-9.5,2.7%
FZG,136.38,-9.47,-2.01%
WTH,177.35,-1.17,-2.23%
YNS,342.49,-8.22,-2.33%
ESL,187.77,8.93,-1.19%
SOUV,345.41,0.84,0.47%
GPZA,81.28,0.18,4.2%
ZDZL,308.5,-3.78,-4.55%
WIM,257.79,-0.58,-1.77%
FWZF,231.3,5.8,-1.17%
BMZ,291.59,5.35,-4.66%
BYHY,56.76,8.69,0.73%
TJFQ,57.75,1.12,-1.72%
LCBI,471.75,4.76,-3.46%
INGZ,314.49,-1.96,-2.49%
EMFB,295.9,5.87,3.15%
AAZH,163.38,-4.6,1.78%
RKOQ,258.71,-5.01,-0.6%
JHW,21.08,-2.67,-1.0%
LNTU,149.96,-4.19,-0.23%
JTPF,226.17,6.03,-2.98%
BZL,80.9,-8.78,3.0%
AKRQ,91.42,-1.79,2.78%
WTDA,31.78,5.98,3.82%
COL,375.18,6.95,2.51%
QHXK,143.99,9.83,-1.54%
YMA,112.32,-5.95,4.79%
GRN,125.96,4.0,-3.86%
OZV,228.85,-8.83,4.0%
ZEGF,353.05,9.91,-2.7%
UAFL,176.19,6.05,0.17%
OZDG,64.03,-2.42,-1.72%
AYCY,10.82,1.58,0.66%
JZEQ,312.41,9.32,3.53%
UXMN,22.64,7.26,4.81%
TXP,28.74,5.55,3.24%
MBBD,94.93,1.83,1.99%
DFZY,318.67,-6.03,-0.18%
HDB,164.37,-7.91,-0.22%
SWXR,233.47,-5.77,3.78%
ZRLE,126.99,-5.96,-2.69%
YBT,72.83,8.25,0.4%
WKA,360.11,5.55,-4.33%
SPK,150.7,5.65,2.17%
JIRH,394.28,-1.49,-1.78%
VGBV,495.0,1.26,-0.84%
PBV,435.82,6.57,-3.85%
WJGP,304.86,7.32,-2.09%
YGT,235.26,-9.93,0.27%
SNO,73.43,-3.96,-2.49%
IKC,428.0,1.93,1.56%
YSJY,349.93,-5.57,-0.67%
LDOZ,241.11,-2.84,-3.92%
OJCS,49.37,6.56,-2.62%
KRUM,62.42,9.08,-1.75%
FUFF,235.15,-6.59,-1.5%
DRUV,463.37,6.83,3.58%
GJO,402.38,8.48,-4.31%
DJY,400.05,-7.15,-2.14%
ETQI,472.1,-1.72,-3.11%
GFUJ,419.63,3.62,3.09%
MCPZ,109.89,-4.32,4.11%
UKE,441.47,-7.03,0.69%
KJE,212.59,-3.03,-3.35%
DBOO,240.65,-0.3,-0.38%
WMKO,31.03,-5.94,-0.92%
AKX,136.47,9.85,-0.12%
JGNW,398.15,-7.26,-3.99%
PRW,454.2,-3.31,-0.89%
UZMZ,10.08,2.1,1.52%
KAW,77.51,8.36,1.12%
TIJ,296.26,9.54,-4.41%
OGX,313.32,5.11,0.4%
RJT,442.64,-4.48,4.33%
CDWY,446.92,-9.48,1.19%
MEFK,23.46,6.06,-1.36%
OCG,288.07,-6.59,-2.25%
TYG,358.88,-9.2,-0.71%
OMXC,406.36,1.16,2.67%
YXU,216.16,-4.96,2.15%
GHAL,33.91,-5.38,2.19%
PGJL,362.37,1.59,0.09%
SRK,183.18,-4.75,-4.94%
CLFV,270.86,-0.65,1.15%
EJV,453.71,-7.11,-2.12%
IIWM,267.17,-3.61,-3.68%
MQC,315.36,0.27,2.59%
NBPT,79.63,-0.3,-4.16%
LMI,105.23,8.25,-0.74%
KULG,395.34,10.0,-3.65%
VQW,311.77,7.49,2.18%
ERE,443.31,9.68,2.13%
JVVA,106.03,-4.68,4.82%
NBC,433.53,1.36,-2.9%
KIN,329.24,-8.2,2.52%
QTKH,435.34,-7.83,-1.06%
SKA,159.67,-5.14,-2.29%
KUOM,406.68,4.48,2.65%
OOW,277.74,1.76,-2.84%
ORO,58.04,-4.02,4.5%
HJR,119.87,0.6,2.03%
KYPV,91.32,-0.34,1.28%
HZK,430.22,-2.07,4.81%
EURF,394.95,-0.3,0.08%
DNAU,75.03,1.57,-0.88%
UPKG,243.35,-6.58,-2.74%
LXR,430.46,-9.29,1.01%
VJBX,449.51,-3.05,-2.36%
TXX,319.18,-6.23,-1.34%
NDJK,72.66,1.23,-3.3%
JDJR,382.19,7.64,-0.33%
KAHZ,255.08,1.02,-0.75%
ADY,476.65,9.84,3.82%
TDC,89.21,1.34,4.24%
HLT,115.19,-1.53,-4.27%
QXCJ,141.6,7.7,-1.79%
QFR,386.16,9.34,-4.85%
VLH,323.54,1.37,-1.89%
FCI,39.6,9.62,-0.72%
WJCZ,485.64,5.87,-0.95%
QCKR,212.15,-1.38,0.87%
UNWH,230.01,-6.31,-0.49%
CQB,284.35,2.09,-4.25%
QYT,118.2,4.88,-2.55%
BSV,450.77,5.53,2.2%
MCQK,295.92,3.98,2.69%
MMJN,391.75,-9.41,-2.69%
GKY,392.84,-0.23,1.25%
CER,84.17,0.14,-2.05%
LKKI,120.3,6.54,3.87%
SELE,24.23,-0.83,-2.22%
TTP,351.88,9.9,4.92%
DVP,444.31,-4.34,-4.83%
PTB,140.55,2.16,-1.1%
WQYU,238.54,-1.9,4.47%
BPLZ,152.56,0.97,-2.64%
OWZI,113.04,6.19,-3.44%
IXLP,51.31,-0.01,2.48%
RVUE,41.57,0.34,-4.44%
TJQ,469.31,-0.12,1.81%
FWA,26.19,-3.04,2.53%
FOXW,401.04,-2.05,0.37%
BAZX,12.91,4.63,1.18%
UKOW,262.18,-6.97,1.94%
IPHQ,363.7,-2.57,-3.85%
IJOT,332.73,8.26,3.71%
NYP,46.62,7.3,4.38%
QQUF,41.85,-3.95,-2.54%
RQZ,36.75,-6.52,-0.35%
CWD,298.94,8.5,-0.35%
FWCD,191.36,-1.11,1.16%
KQV,156.5,-3.13,1.81%
FLN,73.16,-1.86,-1.53%
IQAR,272.93,-2.46,-0.94%
YGE,30.09,9.34,3.66%
XFIV,126.53,-6.81,1.57%
SEDA,388.5,6.58,-3.83%
RJQ,154.28,6.93,-0.83%
OLEY,130.21,4.88,-1.2%
AFHM,358.65,2.47,4.96%
OVH,13.21,9.4,-1.8%
QNZ,56.52,3.07,4.84%
RDE,164.82,4.55,-3.42%
HXGF,135.66,8.76,-2.8%
PZBP,196.24,0.43,3.58%
CFJ,278.6,2.12,0.62%
YKB,103.15,9.87,-1.97%
YND,155.55,5.93,-2.96%
PQY,154.62,-3.66,3.75%
VTQK,83.06,-2.75,-0.15%
JBVD,390.8,-7.6,2.2%
KDBA,214.53,2.64,1.34%
SEF,74.84,3.8,-3.18%
TMDS,45.16,7.56,-3.92%
BMKP,407.22,4.73,-1.09%
KSP,217.53,-6.87,-2.1%
CTE,146.2,-0.33,-0.33%
UON,186.54,5.7,0.93%
ZOP,145.05,5.11,2.61%
HCS,86.34,-4.18,-3.02%
NEIJ,328.49,9.04,-4.39%
KQWB,353.43,0.48,-2.14%
BMZ,46.2,-9.45,2.53%
GFXX,385.43,-3.56,1.69%
WLX,260.11,6.58,-0.46%
OPZD,155.21,-7.4,0.62%
GLK,153.45,6.34,0.25%
ARSK,401.85,-5.96,-2.93%
CESX,290.53,-9.12,-1.52%
VGV,243.78,-2.09,2.07%
QOCG,305.85,7.93,4.26%
AXNJ,191.31,-4.49,-2.84%
DRG,19.8,-8.71,-4.83%
WASV,88.56,5.89,-3.89%
FRRZ,50.41,-7.49,4.44%
ANIJ,183.66,6.21,-3.26%
BURR,346.83,-5.31,1.58%
DXL,495.42,-3.72,2.17%
GNK,207.58,-5.86,1.75%
CYB,236.55,8.52,-1.88%
LPZC,172.2,3.14,-4.5%
SKAN,18.88,-9.13,-3.05%
CAAH,203.41,-0.3,-3.98%
GQII,478.45,4.44,-0.69%
IIV,265.84,8.8,-4.53%
REID,179.69,-3.01,-0.66%
QFY,90.05,-8.32,0.16%
JMQF,481.63,-9.71,0.59%
WYQC,477.6,-4.71,1.24%
QAHT,47.12,-9.03,4.44%
QDHO,362.43,1.81,1.9%
UOCD,403.87,9.55,-4.44%
DNJM,238.97,-6.16,1.28%
ARIR,375.12,-5.05,-3.04%
QTWF,485.44,-7.86,2.48%
UMVX,489.11,2.27,3.85%
RZGL,344.47,-3.36,2.05%
GMU,485.47,-5.02,4.16%
JMA,118.48,8.93,-0.64%
IOS,33.03,3.72,3.07%
QPJD,280.1,0.87,-4.85%
FWT,266.72,-3.87,-0.09%
OATG,112.81,-7.34,-0.13%
CTU,414.22,2.92,3.84%
FAVQ,458.18,-2.44,-0.82%
ACNI,220.88,6.37,4.59%
PWNB,20.72,7.9,4.05%
OXKI,142.71,-2.84,3.52%
LNZT,362.0,4.34,-0.27%
YWT,35.18,3.73,2.3%
FGZ,125.34,-2.18,1.58%
XEQU,267.55,-1.97,4.28%
DITA,473.69,5.87,-0.51%
NFI,452.21,5.85,3.86%
CDQA,450.12,0.67,-2.21%
VNJ,44.81,9.93,1.27%
RSGE,231.78,-8.18,3.55%
ICOZ,499.16,0.18,1.75%
MLB,26.7,1.94,2.15%
PDE,259.49,-9.79,0.8%
BFW,299.33,9.35,-1.7%
JXNR,467.83,6.66,2.18%
FKQ,223.48,-2.68,-1.64%
MWHD,373.66,-5.14,4.1%
GGFE,188.7,-2.61,-2.19%
MRP,102.31,9.46,-4.77%
YNY,432.51,9.96,2.17%
KBUT,42.66,-4.47,-3.77%
SLM,217.13,-2.09,3.67%
NBD,92.29,-3.57,-4.58%
LNU,108.14,-5.39,3.68%
XUZA,445.59,2.22,2.8%
QCZK,214.01,9.12,-2.45%
BJWT,50.74,-3.21,-2.83%
RLJT,78.57,-8.93,-0.02%
XOE,81.49,-4.02,2.02%
ZMJ,446.2,9.92,1.95%
JBG,483.39,1.89,0.52%
LPG,231.52,-5.37,-0.87%
ORGC,494.75,-3.0,0.2%
RXZ,87.41,6.31,3.9%
KAI,149.77,-6.05,1.07%
IWRD,10.47,5.84,-3.26%
TEZY,106.56,8.66,0.4%
IREE,405.73,-4.75,-3.15%
ZZCG,322.19,8.01,-4.95%
JNUS,104.44,-2.25,1.09%
SSX,244.82,8.98,4.65%
RUYU,227.99,-0.33,1.85%
UDYB,45.58,-7.22,0.61%
CMTN,230.01,-2.15,1.18%
MHE,368.6,-1.1,-3.91%
UUKD,33.16,0.23,-1.49%
IXZ,261.31,-3.11,3.16%
INY,60.71,8.26,0.84%
MPUK,318.72,-9.95,-1.2%
TCAW,207.56,-0.18,-4.96%
DTL,376.28,-4.41,0.61%
DTDN,410.72,-8.46,3.8%
ULC,340.77,9.9,-4.33%
UAO,126.0,-6.93,0.22%
AHX,237.21,7.59,4.75%
GGIQ,245.53,-3.99,2.67%
NQT,72.89,-7.24,4.15%
PTVF,235.42,-0.84,-1.51%
WFY,403.22,-0.62,-3.01%
UISM,127.83,-8.85,-0.45%
FSXJ,370.49,3.63,2.59%
GES,419.67,-9.47,-0.88%
